meet_ID,meet_name,year,conference_id,conference,event_name,gender,event_type,place,swimmer_name,swimmer_ID,team_name,team_ID,time,place_original,synthetic
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,100 Back Women Finals,F,Timed Finals,1,Macy Waite,1188480.0,Southern Virginia,10021606,1:08.20,16,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,100 Back Men Finals,M,Timed Finals,1,James Baldwin,388305.0,Southern Virginia,10021606,53.89,6,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,100 Breast Men Finals,M,Timed Finals,1,JONNY Dye,544591.0,Southern Virginia,10021606,59.29,5,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,100 Breast Men Finals,M,Timed Finals,2,Matthew Wood,440921.0,Southern Virginia,10021606,1:11.75,15,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,100 Breast Men Finals,M,Timed Finals,3,Will Dryden,1188478.0,Southern Virginia,10021606,1:13.07,16,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,100 Fly Women Finals,F,Timed Finals,1,Brooklyn Sandholzer,532179.0,Southern Virginia,10021606,1:22.54,16,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,100 Fly Men Finals,M,Timed Finals,1,Travis Lott,385170.0,Southern Virginia,10021606,54.77,13,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,100 Free Women Finals,F,Timed Finals,1,Emmy Waite,1188467.0,Southern Virginia,10021606,57.97,14,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,100 IM Women Finals,F,Timed Finals,1,Emmy Waite,1188467.0,Southern Virginia,10021606,1:06.21,12,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,100 IM Men Finals,M,Timed Finals,1,Travis Lott,385170.0,Southern Virginia,10021606,57.28,12,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,1650 Free Women,F,Timed Finals,1,Macy Waite,1188480.0,Southern Virginia,10021606,21:37.33,15,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,1650 Free Women,F,Timed Finals,2,Ellie Burgy,1188468.0,Southern Virginia,10021606,21:38.58,16,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,1650 Free Men,M,Timed Finals,1,Connor Moore,422001.0,Southern Virginia,10021606,16:54.79,3,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,1650 Free Men,M,Timed Finals,2,Tate May,332972.0,Southern Virginia,10021606,18:51.85,10,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,1650 Free Men,M,Timed Finals,3,Denver Norcross,565492.0,Southern Virginia,10021606,21:37.89,12,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,1650 Free Men,M,Timed Finals,4,Will Dryden,1188478.0,Southern Virginia,10021606,21:51.39,13,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,200 Back Women Finals,F,Timed Finals,1,Macy Waite,1188480.0,Southern Virginia,10021606,2:30.11,14,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,200 Back Women Finals,F,Timed Finals,2,Emma Merrill,1188462.0,Southern Virginia,10021606,2:35.56,16,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,200 Back Men Finals,M,Timed Finals,1,Tate May,332972.0,Southern Virginia,10021606,2:23.81,12,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,200 Breast Women Finals,F,Timed Finals,1,Blythe Hardy,1212158.0,Southern Virginia,10021606,3:08.08,13,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,200 Breast Men Finals,M,Timed Finals,1,Connor Moore,422001.0,Southern Virginia,10021606,2:07.82,3,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,200 Breast Men Finals,M,Timed Finals,2,JONNY Dye,544591.0,Southern Virginia,10021606,2:09.79,4,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,200 Breast Men Finals,M,Timed Finals,3,Will Dryden,1188478.0,Southern Virginia,10021606,2:36.79,12,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,200 Breast Men Finals,M,Timed Finals,4,Matthew Wood,440921.0,Southern Virginia,10021606,2:41.68,13,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,200 Fly Men Finals,M,Timed Finals,1,Travis Lott,385170.0,Southern Virginia,10021606,2:10.09,10,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,200 Fly Men Finals,M,Timed Finals,2,Collin Moore,385341.0,Southern Virginia,10021606,2:19.06,12,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,200 Free Women Finals,F,Timed Finals,1,Ellie Burgy,1188468.0,Southern Virginia,10021606,2:18.81,14,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,200 Free Men Finals,M,Timed Finals,1,Gordon McCreadie,1188474.0,Southern Virginia,10021606,1:52.85,15,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,200 Free Men,M,Timed Finals,2,Tate May,332972.0,Southern Virginia,10021606,1:58.11,17,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,200 Free Relay Women,F,Timed Finals,1,,,Southern Virginia (A),10021606,1:50.04,15,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,200 Free Relay Men,M,Timed Finals,1,,,Southern Virginia (A),10021606,1:27.37,5,False
166252,Capital Athletic Conference Championships,2020,216,USA South Conference,200 IM Women Finals,F,B Final,–,Emma Merrill,1188462.0,Southern Virginia,10021606,DQ,–,False
